name,status,oldPrerequisite,newPrerequisite,prerequisiteChanged,oldBenefit,newEffect,oldSummary,newSummary,sourceUrl
Wary Sentries,db_only_not_updated,Trained in Perception,Trained in Perception,no,Gain bonuses on Perception checks when near allies.,Gain bonuses on Perception checks when near allies.,Gain bonuses on Perception checks when near allies.,Gain bonuses on Perception checks when near allies.,
Resurgence,updated,Trained in Endurance,Trained in Endurance,no,Gain bonus Move Action when you catch your Second Wind.,"When you catch your Second Wind, you immediately gain a Move Action to be used immediately.",Gain bonus Move Action when you catch your Second Wind.,Gain bonus Move Action when you catch your Second Wind.,https://swse.fandom.com/wiki/Resurgence
Spray Shot,updated,None,None,no,"When using a weapon set on Autofire, you can reduce the area to 1 square.","When you have a weapon set on Autofire, you can reduce the area targeted by your Autofire attack to 1 square.","When using a weapon set on Autofire, you can reduce the area to 1 square.","When using a weapon set on Autofire, you can reduce the area to 1 square.",https://swse.fandom.com/wiki/Spray_Shot
Improved Charge,updated,"Dexterity 13, Dodge, Mobility","Dexterity 13, Dodge, Mobility",no,You can Charge without moving in a straight line.,"You can make a Charge without having to move in a straight line, and you can alter your direction when making a Charge to avoid obstacles. All other Charge rules apply.",You can Charge without moving in a straight line.,You can Charge without moving in a straight line.,https://swse.fandom.com/wiki/Improved_Charge
Battering Attack,updated,"Bantha Rush, Trip","Bantha Rush, Trip",no,Knock an opponent Prone when you use Bantha Rush.,"Whenever you successfully move a creature with the Bantha Rush Feat, you also knock that target Prone.",Knock an opponent Prone when you use Bantha Rush.,Knock an opponent Prone when you use Bantha Rush.,https://swse.fandom.com/wiki/Battering_Attack
Unwavering Focus,db_only_not_updated,Zabrak,Zabrak,no,Impose a penalty to Skill Checks for Mind-Affecting effects that target you.,Impose a penalty to Skill Checks for Mind-Affecting effects that target you.,Impose a penalty to Skill Checks for Mind-Affecting effects that target you.,Impose a penalty to Skill Checks for Mind-Affecting effects that target you.,
Expert Droid Repair,updated,Trained in Mechanics,Trained in Mechanics,no,Repair multiple Droids simultaneously.,You can use Repair Droid to a number of Droids equal to your Intelligence modifier (Minimum 2) simultaneously. You make Mechanics checks for each Droid as normal.,Repair multiple Droids simultaneously.,Repair multiple Droids simultaneously.,https://swse.fandom.com/wiki/Expert_Droid_Repair
Forceful Strike,db_only_not_updated,"Trained in Use the Force, Force Stun","Trained in Use the Force, Force Stun",no,You may spend a Force Point to move a target -1 step down the condition track when using Force Stun.,You may spend a Force Point to move a target -1 step down the condition track when using Force Stun.,You may spend a Force Point to move a target -1 step down the condition track when using Force Stun.,You may spend a Force Point to move a target -1 step down the condition track when using Force Stun.,
Galactic Alliance Military Training,updated,None,None,no,You do not move down the Condition Track the first time an attack exceeds your Damage Threshold.,You do not move down the Condition Track the first time an attack exceeds your Damage Threshold in an encounter.,You do not move down the Condition Track the first time an attack exceeds your Damage Threshold.,You do not move down the Condition Track the first time an attack exceeds your Damage Threshold.,https://swse.fandom.com/wiki/Galactic_Alliance_Military_Training
Increased Resistance,db_only_not_updated,Gamorrean,Gamorrean,no,Gain a bonus to Fortitude Defense when an enemy fails to affect you.,Gain a bonus to Fortitude Defense when an enemy fails to affect you.,Gain a bonus to Fortitude Defense when an enemy fails to affect you.,Gain a bonus to Fortitude Defense when an enemy fails to affect you.,
Slippery Maneuver,updated,Dodge,Dodge,no,"Dodge two targets, Withdraw at full Speed.","You can apply the effects of the Dodge Feat against attacks made from two opponents. In addition, when you use the Withdraw Action to move away from a target against whom you use the Dodge Feat, you can move at your full Speed. You still provoke an Attack of Opportunity if you must move more than 1 square to escape a Threatened Area.","Dodge two targets, Withdraw at full Speed.","Dodge two targets, Withdraw at full Speed.",https://swse.fandom.com/wiki/Slippery_Maneuver
Primitive Warrior,db_only_not_updated,Gamorrean,Gamorrean,no,Deal +1 die of damage with Simple Weapons (Melee).,Deal +1 die of damage with Simple Weapons (Melee).,Deal +1 die of damage with Simple Weapons (Melee).,Deal +1 die of damage with Simple Weapons (Melee).,
Flurry,updated,Dexterity 13,Dexterity 13,no,"Increases attack bonus, with penalties to Reflex Defense.","When wielding only Light weapons or Lightsabers, you can make a flurry of attacks. You take a -5 penalty to your Reflex Defense, but you gain a +2 bonus on your melee attack rolls. This bonus on attacks and penalty to Reflex Defense apply until the start of your next turn.","Increases attack bonus, with penalties to Reflex Defense.","Increases attack bonus, with penalties to Reflex Defense.",https://swse.fandom.com/wiki/Flurry
Point-Blank Shot,updated,None,None,no,+1 bonus on ranged attacks and damage against foes within Point-Blank Range.,You get a +1 bonus on attack and damage rolls with ranged weapons against opponents within Point-Blank Range.,+1 bonus on ranged attacks and damage against foes within Point-Blank Range.,+1 bonus on ranged attacks and damage against foes within Point-Blank Range.,https://swse.fandom.com/wiki/Point-Blank_Shot
Low Profile,db_only_not_updated,Dex 13,Dex 13,no,You gain cover from enemies at long range and may reroll Stealth checks made to avoid detection.,You gain cover from enemies at long range and may reroll Stealth checks made to avoid detection.,You gain cover from enemies at long range and may reroll Stealth checks made to avoid detection.,You gain cover from enemies at long range and may reroll Stealth checks made to avoid detection.,
Fast Surge,updated,None,None,no,Catch a Second Wind as a Free Action on your turn.,"On your turn, you can catch a Second Wind as a Free Action instead of a Swift Action.",Catch a Second Wind as a Free Action on your turn.,Catch a Second Wind as a Free Action on your turn.,https://swse.fandom.com/wiki/Fast_Surge
