name,existingPrerequisite,existingBenefit,sourcebook,note
Wary Sentries,Trained in Perception,Gain bonuses on Perception checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Unwavering Focus,Zabrak,Impose a penalty to Skill Checks for Mind-Affecting effects that target you.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Strike,"Trained in Use the Force, Force Stun",You may spend a Force Point to move a target -1 step down the condition track when using Force Stun.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Increased Resistance,Gamorrean,Gain a bonus to Fortitude Defense when an enemy fails to affect you.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Primitive Warrior,Gamorrean,Deal +1 die of damage with Simple Weapons (Melee).,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Low Profile,Dex 13,You gain cover from enemies at long range and may reroll Stealth checks made to avoid detection.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Indomitable Will,Wis 13,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Wounding Strike,Base attack bonus +6,"Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Pitiless Warrior,Trandoshan,Gain Bonus Hit Points whenever you take down a foe.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Scion of Dorin,Kel Dor,Gain a bonus to Fortitude Defense against Atmospheric Hazards.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Saber Throw,Trained in Use the Force,You may throw your lightsaber as a ranged attack using Use the Force instead of a ranged attack roll. The lightsaber returns to your hand at the end of the turn.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Stealthy,,You gain a +2 bonus on Stealth checks and may reroll a failed Stealth check once per encounter.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Mounted Regiment,Trained in Ride,Gain bonuses on Ride checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Throw,"Trained in Use the Force, Move Object",You gain a +2 bonus on Use the Force checks made to activate Move Object.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Ascension Specialists,Trained in Climb,Gain bonuses on Climb checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Hard Target,"Dex 13, Dodge",You gain a +2 bonus to Reflex Defense against ranged attacks while moving at least 2 squares on your turn.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Confident Success,Bothan,Gain a Force Point when you successfully Learn Secret Information.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Will,Trained in Use the Force,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Reactive Awareness,Trained in Perception,"Once per encounter, you may reroll a Perception check and take the better result.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Technical Experts,Trained in Mechanics,Gain bonuses on Mechanics checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Lucky Shot,Point Blank Shot,"Once per encounter, you may reroll a ranged attack roll and take the better result.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Logic Upgrade: Self-Defense,Droid,Grant yourself +2 to the Defense of your choice for 1 round.,Knights of the Old Republic Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Stunning Strike,Base attack bonus +6,"Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Strong Bellow,Ithorian,Use your Bellow ability without moving down the Condition Track.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Wrruushi Training,"Constitution 13, Martial Arts I, Wookiee",Gain bonus hit points on Unarmed attacks. Deny target Equipment bonus.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Medical Team,Trained in Treat Injury,Gain bonuses on Treat Injury checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
K'tara Training,"Martial Arts I, Trained in Stealth",Deal extra damage against Flat-Footed enemy. Render target Mute.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Quick Comeback,Gamorrean,Recover quickly after being moved down the Condition Track by damage.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Ample Foraging,Ewok,Grant a bonus to allies' Fortitude Defense by foraging.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Sharp Senses,Mon Calamari,Increase the die type when adding Force Points to a Perception check.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Improved Stun,"Int 13, Stun",You gain a +5 bonus on attack rolls made to stun an opponent.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Skill Challenge: Catastrophic Avoidance,None,"Catastrophic Failures in a Skill Challenge occur less frequently, and with milder results.",Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Weapon Proficiency (Simple Weapons),,You are proficient with simple weapons and do not take the -5 penalty when using them.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Wroshyr Rage,Wookiee,Gain Bonus Hit Points when Raging.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Triple Crit Specialist,"Triple Crit, Weapon Specialization with selected weapon group","When you score a critical hit with the selected weapon group, you deal triple damage and move the target -1 step down the condition track.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Spring Attack,"Dex 13, Mobility","When making a melee attack, you may move both before and after the attack, up to your speed, without provoking attacks of opportunity from the target.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Binary Mind,Cerean,"Enemies must roll twice, keeping the lower result, on Mind-Affecting effects.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Justice Seeker,Kel Dor,Gain a bonus to damage rolls against those who harm your allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
