Name,Category,Domain,Size,Type,Confidence,Notes
"Hyperspace Beacon","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Advanced V-19 Torrent Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Corellian YT-1300 Transport","transport","starship","gargantuan","Transport","High",""
"AEG-77 Vigo Transport","transport","starship","large","Transport","High",""
"Corellian YT-1930 Transport","transport","starship","gargantuan","Transport","High",""
"TT-6 Landspeeder","speeder","planetary","large","Speeder","High",""
"Hardcell-Class Interstellar Transport","transport","starship","large","Transport","High",""
"CloakShape Fighter","starfighter","starship","gargantuan","Vehicle","High",""
"The Visionary","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"LAVr QH-7 Chariot","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"OG-9 Homing Spider Droid","walker","planetary","huge","Vehicle","High",""
"RC-2 Twilight Scoutship","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Corellian YT-2000 Transport","transport","starship","gargantuan","Transport","High",""
"Venator-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"N-1 Royal Starfighter","starfighter","starship","huge","Starfighter","High",""
"BARC Speeder","speeder","planetary","large","Speeder","High",""
"Strike-Class Medium Cruiser","capitalShip","starship","large","Vehicle","High",""
"MC80 Star Cruiser","capitalShip","starship","large","Vehicle","High",""
"Delta-7 Aethersprite Interceptor","starfighter","starship","huge","Vehicle","High",""
"Corellian Barloz-Class Medium Freighter","transport","starship","gargantuan","Vehicle","High",""
"Y164 Slave Transport","transport","starship","colossal (frigate)","Transport","High",""
"The Virago","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"I4 Ionizer Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"SkyBlind Recon Ship","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"The Bloody Credit","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Maka-Eekai L4000 Transport","transport","starship","colossal","Transport","High",""
"F9-TZ Transport","transport","starship","huge","Transport","High",""
"Aerosled Mark III","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"PL-90 Luxury Speeder","speeder","planetary","huge","Speeder","High",""
"Imperial RaDAir","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Y-Wing ""LongProbe""","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Corellian YZ-2500 Heavy Transport","transport","starship","large","Transport","High",""
"Punworcca 116-Class Interstellar Sloop","transport","starship","huge","Vehicle","High",""
"Baas-Class Space Station","spaceStation","starship","colossal (frigate)","Vehicle","High",""
"CR70 Corellian Corvette","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Gymsnor-3 Light Freighter","transport","starship","gargantuan","Vehicle","High",""
"TIE Defender","starfighter","starship","gargantuan","Vehicle","High",""
"LAAT/i Gunship","REVIEW_REQUIRED","?","gargantuan","Gunship","Low","Manual review"
"AT-KT","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Corellian VCX-350 Light Freighter","transport","starship","gargantuan","Vehicle","High",""
